Date,Price
2025-03-31,"2,465.00"
2025-03-28,"2,472.00"
2025-03-26,"2,581.00"
2025-03-25,"2,630.00"
2025-03-24,"2,690.00"
2025-03-21,"2,676.00"
2025-03-20,"2,670.00"
2025-03-06,"2,082.00"
2025-03-05,"1,894.00"
2025-03-04,"1,969.00"
2025-03-03,"1,980.00"
2025-02-28,"1,818.00"
2025-02-27,"1,573.00"
2025-02-26,"1,397.00"
2025-02-25,"1,159.00"
2025-02-24,"1,039.00"
2025-02-21,991.00
2025-02-20,917.00
2025-02-19,867.00
2025-02-18,757.00
2025-02-17,725.00
2025-02-14,716.00
2025-02-13,711.00
2025-02-12,711.00
2025-02-11,779.00
2025-02-10,810.00
2025-02-07,840.00
2025-02-06,812.00
2025-02-05,812.00
2025-02-04,844.00
2025-02-03,861.00
2025-01-31,874.00
2025-01-30,841.00
2025-01-29,876.00
2025-01-28,931.00
2025-01-27,958.00
2025-01-24,983.00
2025-01-23,"1,081.00"
2025-01-22,"1,236.00"
2025-01-21,"1,284.00"
2025-01-20,"1,327.00"
2025-01-17,"1,393.00"
2025-01-16,"1,482.00"
2025-01-15,"1,581.00"
2025-01-14,"1,604.00"
2025-01-13,"1,615.00"
2025-01-10,"1,448.00"
2025-01-09,"1,164.00"
2025-01-08,"1,100.00"
2025-01-07,"1,218.00"
2025-01-06,"1,290.00"
2025-01-03,"1,375.00"
2025-01-02,"1,261.00"
2024-12-24,"1,147.00"
2024-12-23,"1,132.00"
2024-12-20,"1,115.00"
2024-12-19,"1,079.00"
2024-12-18,"1,237.00"
2024-12-17,"1,308.00"
2024-12-16,"1,340.00"
2024-12-13,"1,263.00"
2024-12-12,"1,252.00"
2024-12-11,"1,377.00"
2024-12-10,"1,503.00"
2024-12-09,"1,532.00"
2024-12-06,"1,535.00"
2024-12-05,"1,530.00"
2024-12-04,"1,609.00"
2024-12-03,"1,792.00"
2024-12-02,"1,973.00"
2024-11-29,"2,133.00"
2024-11-28,"2,312.00"
2024-11-27,"2,569.00"
2024-11-26,"2,779.00"
2024-11-25,"2,613.00"
2024-11-22,"2,626.00"
2024-11-21,"2,724.00"
2024-11-20,"2,810.00"
2024-11-19,"2,808.00"
2024-11-18,"3,162.00"
2024-11-15,"3,229.00"
2024-11-14,"2,936.00"
2024-11-13,"2,746.00"
2024-11-12,"2,753.00"
2024-11-11,"2,517.00"
2024-11-08,"2,316.00"
2024-11-07,"2,162.00"
2024-11-06,"2,060.00"
2024-11-05,"1,967.00"
2024-11-04,"1,849.00"
2024-11-01,"1,848.00"
2024-10-31,"1,853.00"
2024-10-30,"1,846.00"
2024-10-29,"1,859.00"
2024-10-28,"1,786.00"
2024-10-25,"1,856.00"
2024-10-24,"1,859.00"
2024-10-23,"1,921.00"
2024-10-22,"2,008.00"
2024-10-21,"2,191.00"
2024-10-18,"2,276.00"
2024-10-17,"2,322.00"
2024-10-16,"2,552.00"
2024-10-15,"2,773.00"
2024-10-14,"2,878.00"
2024-10-11,"2,835.00"
2024-10-10,"2,755.00"
2024-10-09,"2,786.00"
2024-10-08,"2,989.00"
2024-10-07,"3,161.00"
2024-10-04,"3,243.00"
2024-10-03,"3,299.00"
2024-10-02,"3,399.00"
2024-10-01,"3,524.00"
2024-09-30,"3,649.00"
2024-09-27,"3,689.00"
2024-09-26,"3,580.00"
2024-09-25,"3,315.00"
2024-09-24,"3,301.00"
2024-09-23,"3,275.00"
2024-09-20,"3,235.00"
2024-09-19,"3,253.00"
2024-09-18,"3,024.00"
2024-09-17,"3,090.00"
2024-09-16,"3,097.00"
2024-09-13,"3,089.00"
2024-09-12,"3,225.00"
2024-09-11,"3,375.00"
2024-09-10,"3,342.00"
2024-09-09,"3,404.00"
2024-09-06,"3,356.00"
2024-09-05,"3,285.00"
2024-09-04,"3,224.00"
2024-09-03,"3,349.00"
2024-09-02,"3,248.00"
2024-08-30,"3,099.00"
2024-08-29,"3,119.00"
2024-08-28,"2,883.00"
2024-08-27,"2,755.00"
2024-08-23,"2,851.00"
2024-08-22,"2,847.00"
2024-08-21,"2,788.00"
2024-08-20,"2,691.00"
2024-08-19,"2,594.00"
2024-08-16,"2,537.00"
2024-08-15,"2,542.00"
2024-08-14,"2,650.00"
2024-08-13,"2,477.00"
2024-08-12,"2,413.00"
2024-08-09,"2,437.00"
2024-08-08,"2,459.00"
2024-08-07,"2,473.00"
2024-08-06,"2,402.00"
2024-08-05,"2,351.00"
2024-08-02,"2,327.00"
2024-08-01,"2,289.00"
2024-07-31,"2,377.00"
2024-07-30,"2,499.00"
2024-07-29,"2,582.00"
2024-07-26,"2,614.00"
2024-07-25,"2,696.00"
2024-07-24,"2,803.00"
2024-07-23,"2,854.00"
2024-07-22,"2,957.00"
2024-07-19,"2,973.00"
2024-07-18,"3,007.00"
2024-07-17,"2,940.00"
2024-07-16,"3,099.00"
2024-07-15,"3,263.00"
2024-07-12,"3,296.00"
2024-07-11,"3,183.00"
2024-07-10,"3,215.00"
2024-07-09,"3,119.00"
2024-07-08,"3,276.00"
2024-07-05,"3,339.00"
2024-07-04,"3,486.00"
2024-07-03,"3,580.00"
2024-07-02,"3,888.00"
2024-07-01,"3,791.00"
2024-06-28,"3,443.00"
2024-06-27,"3,371.00"
2024-06-26,"3,145.00"
2024-06-25,"2,990.00"
2024-06-24,"3,093.00"
2024-06-21,"3,142.00"
2024-06-20,"3,079.00"
2024-06-19,"2,927.00"
2024-06-18,"2,966.00"
2024-06-17,"2,938.00"
2024-06-14,"2,957.00"
2024-06-13,"2,985.00"
2024-06-12,"2,726.00"
2024-06-11,"2,784.00"
2024-06-10,"2,985.00"
2024-06-07,"2,998.00"
2024-06-06,"2,977.00"
2024-06-05,"2,945.00"
2024-06-04,"2,839.00"
2024-06-03,"2,816.00"
2024-05-31,"2,820.00"
2024-05-30,"2,750.00"
2024-05-29,"2,674.00"
2024-05-28,"2,608.00"
2024-05-24,"2,613.00"
2024-05-23,"2,584.00"
2024-05-22,"2,584.00"
2024-05-21,"2,655.00"
