Date,Price
2025-03-31,614.0
2025-03-28,614.0
2025-03-27,607.0
2025-03-26,603.0
2025-03-25,601.0
2025-03-24,599.0
2025-03-21,596.0
2025-03-20,593.0
2025-03-06,553.0
2025-03-05,549.0
2025-03-04,548.0
2025-03-03,547.0
2025-02-28,547.0
2025-02-27,546.0
2025-02-26,547.0
2025-02-25,543.0
2025-02-24,540.0
2025-02-21,534.0
2025-02-20,523.0
2025-02-19,511.0
2025-02-18,499.0
2025-02-17,486.0
2025-02-14,472.0
2025-02-13,455.0
2025-02-12,438.0
2025-02-11,419.0
2025-02-10,408.0
2025-02-07,398.0
2025-02-06,388.0
2025-02-05,376.0
2025-02-04,371.0
2025-02-03,372.0
2025-01-31,377.0
2025-01-30,381.0
2025-01-29,384.0
2025-01-28,389.0
2025-01-27,398.0
2025-01-24,411.0
2025-01-23,418.0
2025-01-22,428.0
2025-01-21,436.0
2025-01-20,446.0
2025-01-17,453.0
2025-01-16,464.0
2025-01-15,477.0
2025-01-14,494.0
2025-01-13,502.0
2025-01-10,508.0
2025-01-09,515.0
2025-01-08,524.0
2025-01-07,532.0
2025-01-06,539.0
2025-01-03,549.0
2025-01-02,554.0
2024-12-24,569.0
2024-12-23,573.0
2024-12-20,579.0
2024-12-19,586.0
2024-12-18,593.0
2024-12-17,600.0
2024-12-16,608.0
2024-12-13,618.0
2024-12-12,626.0
2024-12-11,628.0
2024-12-10,632.0
2024-12-09,640.0
2024-12-06,644.0
2024-12-05,650.0
2024-12-04,651.0
2024-12-03,653.0
2024-12-02,657.0
2024-11-29,659.0
2024-11-28,661.0
2024-11-27,662.0
2024-11-26,664.0
2024-11-25,668.0
2024-11-22,670.0
2024-11-21,671.0
2024-11-20,675.0
2024-11-19,678.0
2024-11-18,681.0
2024-11-15,685.0
2024-11-14,687.0
2024-11-13,693.0
2024-11-12,697.0
2024-11-11,701.0
2024-11-08,703.0
2024-11-07,705.0
2024-11-06,707.0
2024-11-05,710.0
2024-11-04,715.0
2024-11-01,718.0
2024-10-31,719.0
2024-10-30,720.0
2024-10-29,722.0
2024-10-28,723.0
2024-10-25,728.0
2024-10-24,727.0
2024-10-23,731.0
2024-10-22,729.0
2024-10-21,726.0
2024-10-18,727.0
2024-10-17,725.0
2024-10-16,723.0
2024-10-15,720.0
2024-10-14,719.0
2024-10-11,718.0
2024-10-10,717.0
2024-10-09,716.0
2024-10-08,717.0
2024-10-07,715.0
2024-10-04,712.0
2024-10-03,712.0
2024-10-02,713.0
2024-10-01,713.0
2024-09-30,711.0
2024-09-27,710.0
2024-09-26,712.0
2024-09-25,713.0
2024-09-24,711.0
2024-09-23,708.0
2024-09-20,707.0
2024-09-19,707.0
2024-09-18,706.0
2024-09-17,706.0
2024-09-16,707.0
2024-09-13,707.0
2024-09-12,709.0
2024-09-11,710.0
2024-09-10,714.0
2024-09-09,719.0
2024-09-06,724.0
2024-09-05,727.0
2024-09-04,732.0
2024-09-03,737.0
2024-09-02,741.0
2024-08-30,744.0
2024-08-29,745.0
2024-08-28,746.0
2024-08-27,748.0
2024-08-23,753.0
2024-08-22,753.0
2024-08-21,754.0
2024-08-20,755.0
2024-08-19,754.0
2024-08-16,754.0
2024-08-15,756.0
2024-08-14,757.0
2024-08-13,756.0
2024-08-12,756.0
2024-08-09,755.0
2024-08-08,756.0
2024-08-07,756.0
2024-08-06,759.0
2024-08-05,758.0
2024-08-02,759.0
2024-08-01,761.0
2024-07-31,762.0
2024-07-30,760.0
2024-07-29,759.0
2024-07-26,759.0
2024-07-25,760.0
2024-07-24,758.0
2024-07-23,757.0
2024-07-22,756.0
2024-07-19,752.0
2024-07-18,749.0
2024-07-17,747.0
2024-07-16,743.0
2024-07-15,742.0
2024-07-12,741.0
2024-07-11,740.0
2024-07-10,735.0
2024-07-09,737.0
2024-07-08,739.0
2024-07-05,742.0
2024-07-04,745.0
2024-07-03,749.0
2024-07-02,755.0
2024-07-01,762.0
2024-06-28,763.0
2024-06-27,763.0
2024-06-26,763.0
2024-06-25,760.0
2024-06-24,757.0
2024-06-21,753.0
2024-06-20,744.0
2024-06-19,734.0
2024-06-18,725.0
2024-06-17,716.0
2024-06-14,711.0
2024-06-13,708.0
2024-06-12,708.0
2024-06-11,711.0
2024-06-10,714.0
2024-06-07,714.0
2024-06-06,716.0
2024-06-05,714.0
2024-06-04,717.0
2024-06-03,722.0
2024-05-31,720.0
2024-05-30,718.0
2024-05-29,712.0
2024-05-28,708.0
2024-05-24,688.0
2024-05-23,686.0
2024-05-22,686.0
2024-05-21,688.0
2024-05-20,691.0
2024-05-17,690.0
2024-05-16,693.0
2024-05-15,694.0
2024-05-14,698.0
2024-05-13,701.0
2024-05-10,703.0
2024-05-09,709.0
2024-05-08,711.0
2024-05-07,722.0
2024-05-03,729.0
2024-05-02,732.0
2024-05-01,742.0
2024-04-30,746.0
2024-04-29,750.0
2024-04-26,751.0
2024-04-25,750.0
2024-04-24,751.0
2024-04-23,751.0
2024-04-22,744.0
2024-04-19,741.0
2024-04-18,735.0
2024-04-17,729.0
2024-04-16,724.0
2024-04-15,721.0
2024-04-12,722.0
2024-04-11,724.0
2024-04-10,724.0
2024-04-09,727.0
2024-04-08,733.0
2024-04-05,735.0
2024-04-04,745.0
2024-04-03,752.0
2024-04-02,763.0
2024-03-28,772.0
2024-03-27,779.0
2024-03-26,784.0
2024-03-25,792.0
