Date,Price
2025-03-31,"1,501.00"
2025-03-28,"1,497.00"
2025-03-20,"1,357.00"
2025-03-06,992.00
2025-03-05,"1,000.00"
2025-03-04,"1,024.00"
2025-03-03,"1,045.00"
2025-02-28,"1,063.00"
2025-02-27,"1,092.00"
2025-02-26,"1,128.00"
2025-02-25,"1,156.00"
2025-02-24,"1,177.00"
2025-02-21,"1,170.00"
2025-02-20,"1,144.00"
2025-02-19,"1,104.00"
2025-02-18,"1,042.00"
2025-02-17,997.00
2025-02-14,980.00
2025-02-13,974.00
2025-02-12,983.00
2025-02-11,"1,011.00"
2025-02-10,"1,028.00"
2025-02-07,"1,035.00"
2025-02-06,"1,029.00"
2025-02-05,988.00
2025-02-04,901.00
2025-02-03,830.00
2025-01-31,800.00
2025-01-30,767.00
2025-01-29,751.00
2025-01-28,748.00
2025-01-27,759.00
2025-01-24,774.00
2025-01-23,804.00
2025-01-22,843.00
2025-01-21,874.00
2025-01-20,893.00
2025-01-17,897.00
2025-01-16,896.00
2025-01-15,894.00
2025-01-14,906.00
2025-01-13,926.00
2025-01-10,953.00
2025-01-09,992.00
2025-01-08,"1,037.00"
2025-01-07,"1,061.00"
2025-01-06,"1,061.00"
2025-01-03,"1,040.00"
2025-01-02,"1,000.00"
2024-12-24,988.00
2024-12-23,980.00
2024-12-20,976.00
2024-12-19,964.00
2024-12-18,957.00
2024-12-17,959.00
2024-12-16,977.00
2024-12-13,995.00
2024-12-12,"1,021.00"
2024-12-11,"1,053.00"
2024-12-10,"1,077.00"
2024-12-09,"1,079.00"
2024-12-06,"1,067.00"
2024-12-05,"1,040.00"
2024-12-04,"1,014.00"
2024-12-03,"1,005.00"
2024-12-02,"1,009.00"
2024-11-29,"1,018.00"
2024-11-28,"1,028.00"
2024-11-27,"1,044.00"
2024-11-26,"1,056.00"
2024-11-25,"1,068.00"
2024-11-22,"1,083.00"
2024-11-21,"1,106.00"
2024-11-20,"1,138.00"
2024-11-19,"1,171.00"
2024-11-18,"1,202.00"
2024-11-15,"1,212.00"
2024-11-14,"1,213.00"
2024-11-13,"1,208.00"
2024-11-12,"1,194.00"
2024-11-11,"1,182.00"
2024-11-08,"1,176.00"
2024-11-07,"1,178.00"
2024-11-06,"1,185.00"
2024-11-05,"1,191.00"
2024-11-04,"1,195.00"
2024-11-01,"1,199.00"
2024-10-31,"1,204.00"
2024-10-30,"1,202.00"
2024-10-29,"1,195.00"
2024-10-28,"1,190.00"
2024-10-25,"1,201.00"
2024-10-24,"1,216.00"
2024-10-23,"1,238.00"
2024-10-22,"1,260.00"
2024-10-21,"1,278.00"
2024-10-18,"1,285.00"
2024-10-17,"1,288.00"
2024-10-16,"1,309.00"
2024-10-15,"1,364.00"
2024-10-14,"1,409.00"
2024-10-11,"1,435.00"
2024-10-10,"1,455.00"
2024-10-09,"1,457.00"
2024-10-08,"1,441.00"
2024-10-07,"1,415.00"
2024-10-04,"1,388.00"
2024-10-03,"1,367.00"
2024-10-02,"1,364.00"
2024-10-01,"1,386.00"
2024-09-30,"1,414.00"
2024-09-27,"1,446.00"
2024-09-26,"1,498.00"
2024-09-25,"1,543.00"
2024-09-24,"1,560.00"
2024-09-23,"1,552.00"
2024-09-20,"1,538.00"
2024-09-19,"1,528.00"
2024-09-18,"1,502.00"
2024-09-17,"1,466.00"
2024-09-16,"1,442.00"
2024-09-13,"1,428.00"
2024-09-12,"1,402.00"
2024-09-11,"1,356.00"
2024-09-10,"1,317.00"
2024-09-09,"1,302.00"
2024-09-06,"1,294.00"
2024-09-05,"1,294.00"
2024-09-04,"1,300.00"
2024-09-03,"1,300.00"
2024-09-02,"1,305.00"
2024-08-30,"1,316.00"
2024-08-29,"1,331.00"
2024-08-28,"1,350.00"
2024-08-27,"1,381.00"
2024-08-23,"1,414.00"
2024-08-22,"1,444.00"
2024-08-21,"1,487.00"
2024-08-20,"1,521.00"
2024-08-19,"1,544.00"
2024-08-16,"1,552.00"
2024-08-15,"1,554.00"
2024-08-14,"1,560.00"
2024-08-13,"1,563.00"
2024-08-12,"1,584.00"
2024-08-09,"1,599.00"
2024-08-08,"1,620.00"
2024-08-07,"1,651.00"
2024-08-06,"1,678.00"
2024-08-05,"1,697.00"
2024-08-02,"1,705.00"
2024-08-01,"1,713.00"
2024-07-31,"1,739.00"
2024-07-30,"1,772.00"
2024-07-29,"1,792.00"
2024-07-26,"1,792.00"
2024-07-25,"1,785.00"
2024-07-24,"1,765.00"
2024-07-23,"1,728.00"
2024-07-22,"1,712.00"
2024-07-19,"1,714.00"
2024-07-18,"1,714.00"
2024-07-17,"1,713.00"
2024-07-16,"1,713.00"
2024-07-15,"1,702.00"
2024-07-12,"1,678.00"
2024-07-11,"1,638.00"
2024-07-10,"1,579.00"
2024-07-09,"1,536.00"
2024-07-08,"1,531.00"
2024-07-05,"1,546.00"
2024-07-04,"1,568.00"
2024-07-03,"1,607.00"
2024-07-02,"1,640.00"
2024-07-01,"1,662.00"
2024-06-28,"1,667.00"
2024-06-27,"1,672.00"
2024-06-26,"1,683.00"
2024-06-25,"1,735.00"
2024-06-24,"1,792.00"
2024-06-21,"1,827.00"
2024-06-20,"1,867.00"
2024-06-19,"1,919.00"
2024-06-18,"1,954.00"
2024-06-17,"1,960.00"
2024-06-14,"1,950.00"
2024-06-13,"1,920.00"
2024-06-12,"1,864.00"
2024-06-11,"1,807.00"
2024-06-10,"1,769.00"
2024-06-07,"1,750.00"
2024-06-06,"1,731.00"
2024-06-05,"1,702.00"
2024-06-04,"1,679.00"
2024-06-03,"1,681.00"
2024-05-31,"1,693.00"
2024-05-30,"1,718.00"
2024-05-29,"1,762.00"
2024-05-28,"1,801.00"
2024-05-24,"1,824.00"
2024-05-23,"1,832.00"
2024-05-22,"1,831.00"
2024-05-21,"1,822.00"
2024-05-20,"1,811.00"
2024-05-17,"1,825.00"
2024-05-16,"1,845.00"
2024-05-15,"1,905.00"
2024-05-14,"1,978.00"
2024-05-13,"2,017.00"
2024-05-10,"2,026.00"
2024-05-09,"2,020.00"
2024-05-08,"2,005.00"
2024-05-07,"1,949.00"
2024-05-03,"1,884.00"
2024-05-02,"1,863.00"
2024-05-01,"1,847.00"
2024-04-30,"1,845.00"
2024-04-29,"1,858.00"
2024-04-26,"1,878.00"
2024-04-25,"1,896.00"
2024-04-24,"1,910.00"
2024-04-23,"1,914.00"
2024-04-22,"1,928.00"
2024-04-19,"1,916.00"
2024-04-18,"1,876.00"
2024-04-17,"1,805.00"
2024-04-16,"1,754.00"
2024-04-15,"1,736.00"
2024-04-12,"1,713.00"
2024-04-11,"1,677.00"
2024-04-10,"1,631.00"
2024-04-09,"1,633.00"
2024-04-08,"1,667.00"
2024-04-05,"1,695.00"
2024-04-04,"1,733.00"
2024-04-03,"1,772.00"
2024-04-02,"1,816.00"
2024-03-28,"1,879.00"
2024-03-27,"1,941.00"
2024-03-26,"2,044.00"
2024-03-25,"2,120.00"
2024-03-22,"2,165.00"
2024-03-21,"2,204.00"
2024-03-20,"2,251.00"
2024-03-19,"2,306.00"
2024-03-18,"2,298.00"
2024-03-15,"2,234.00"
2024-03-14,"2,133.00"
2024-03-13,"2,043.00"
2024-03-12,"1,949.00"
2024-03-11,"1,893.00"
2024-03-08,"1,861.00"
2024-03-07,"1,840.00"
2024-03-06,"1,823.00"
2024-03-05,"1,805.00"
2024-03-04,"1,773.00"
2024-03-01,"1,723.00"
2024-02-29,"1,681.00"
2024-02-28,"1,627.00"
2024-02-27,"1,581.00"
2024-02-26,"1,578.00"
2024-02-23,"1,595.00"
2024-02-22,"1,624.00"
2024-02-21,"1,673.00"
2024-02-20,"1,706.00"
2024-02-19,"1,681.00"
2024-02-16,"1,646.00"
2024-02-15,"1,623.00"
2024-02-14,"1,582.00"
2024-02-13,"1,550.00"
2024-02-12,"1,526.00"
2024-02-09,"1,509.00"
2024-02-08,"1,474.00"
2024-02-07,"1,445.00"
2024-02-06,"1,428.00"
2024-02-05,"1,419.00"
2024-02-02,"1,444.00"
2024-02-01,"1,497.00"
2024-01-31,"1,566.00"
2024-01-30,"1,636.00"
2024-01-29,"1,686.00"
2024-01-26,"1,696.00"
2024-01-25,"1,690.00"
2024-01-24,"1,663.00"
2024-01-23,"1,613.00"
2024-01-22,"1,576.00"
2024-01-19,"1,550.00"
2024-01-18,"1,492.00"
2024-01-17,"1,446.00"
2024-01-16,"1,421.00"
2024-01-15,"1,412.00"
2024-01-12,"1,410.00"
2024-01-11,"1,421.00"
2024-01-10,"1,464.00"
2024-01-09,"1,534.00"
2024-01-08,"1,605.00"
2024-01-05,"1,666.00"
2024-01-04,"1,727.00"
2024-01-03,"1,808.00"
2024-01-02,"1,872.00"
