Date,Price
2025-03-27,"1,007.00"
2025-03-25,"1,015.00"
2025-03-24,"1,013.00"
2025-03-21,"1,012.00"
2025-03-20,"1,010.00"
2025-03-06,864.00
2025-03-05,868.00
2025-03-04,876.00
2025-03-03,887.00
2025-02-28,895.00
2025-02-27,903.00
2025-02-26,907.00
2025-02-25,904.00
2025-02-24,895.00
2025-02-21,886.00
2025-02-20,866.00
2025-02-19,839.00
2025-02-18,813.00
2025-02-17,781.00
2025-02-14,765.00
2025-02-13,741.00
2025-02-12,724.00
2025-02-11,710.00
2025-02-10,694.00
2025-02-07,677.00
2025-02-06,649.00
2025-02-05,619.00
2025-02-04,605.00
2025-02-03,602.00
2025-01-31,603.00
2025-01-30,605.00
2025-01-29,612.00
2025-01-28,619.00
2025-01-27,629.00
2025-01-24,639.00
2025-01-23,654.00
2025-01-22,674.00
2025-01-21,703.00
2025-01-20,727.00
2025-01-17,747.00
2025-01-16,765.00
2025-01-15,783.00
2025-01-14,798.00
2025-01-13,809.00
2025-01-10,819.00
2025-01-09,830.00
2025-01-08,846.00
2025-01-07,856.00
2025-01-06,867.00
2025-01-03,884.00
2025-01-02,899.00
2024-12-24,923.00
2024-12-23,932.00
2024-12-20,940.00
2024-12-19,944.00
2024-12-18,947.00
2024-12-17,949.00
2024-12-16,955.00
2024-12-13,959.00
2024-12-12,961.00
2024-12-11,962.00
2024-12-10,967.00
2024-12-09,971.00
2024-12-06,974.00
2024-12-05,979.00
2024-12-04,982.00
2024-12-03,979.00
2024-12-02,979.00
2024-11-29,980.00
2024-11-28,989.00
2024-11-27,988.00
2024-11-26,985.00
2024-11-25,984.00
2024-11-22,984.00
2024-11-21,987.00
2024-11-20,992.00
2024-11-19,999.00
2024-11-18,"1,009.00"
2024-11-15,"1,019.00"
2024-11-14,"1,029.00"
2024-11-13,"1,036.00"
2024-11-12,"1,051.00"
2024-11-11,"1,064.00"
2024-11-08,"1,079.00"
2024-11-07,"1,098.00"
2024-11-06,"1,118.00"
2024-11-05,"1,136.00"
2024-11-04,"1,154.00"
2024-11-01,"1,163.00"
2024-10-31,"1,182.00"
2024-10-30,"1,207.00"
2024-10-29,"1,221.00"
2024-10-28,"1,234.00"
2024-10-25,"1,240.00"
2024-10-24,"1,245.00"
2024-10-23,"1,249.00"
2024-10-22,"1,249.00"
2024-10-21,"1,250.00"
2024-10-18,"1,250.00"
2024-10-17,"1,254.00"
2024-10-16,"1,257.00"
2024-10-15,"1,260.00"
2024-10-14,"1,262.00"
2024-10-11,"1,269.00"
2024-10-10,"1,274.00"
2024-10-09,"1,270.00"
2024-10-08,"1,264.00"
2024-10-07,"1,257.00"
2024-10-04,"1,258.00"
2024-10-03,"1,260.00"
2024-10-02,"1,272.00"
2024-10-01,"1,283.00"
2024-09-30,"1,296.00"
2024-09-27,"1,306.00"
2024-09-26,"1,314.00"
2024-09-25,"1,317.00"
2024-09-24,"1,312.00"
2024-09-23,"1,301.00"
2024-09-20,"1,289.00"
2024-09-19,"1,276.00"
2024-09-18,"1,270.00"
2024-09-17,"1,266.00"
2024-09-16,"1,265.00"
2024-09-13,"1,264.00"
2024-09-12,"1,263.00"
2024-09-11,"1,259.00"
2024-09-10,"1,258.00"
2024-09-09,"1,259.00"
2024-09-06,"1,260.00"
2024-09-05,"1,266.00"
2024-09-04,"1,271.00"
2024-09-03,"1,280.00"
2024-09-02,"1,280.00"
2024-08-30,"1,306.00"
