Date,Coking_Coal,Thermal_Coal,Iron_Ore,Manganese_Ore,Limestone
2025-04-29,231.09,136.02,109.26,321.4,44.83
2025-04-30,230.79,138.12,110.09,320.41,44.8
2025-05-01,232.21,136.58,110.15,318.94,44.6
2025-05-02,235.56,137.2,109.56,318.93,44.52
2025-05-03,235.05,136.48,110.19,318.62,44.05
2025-05-04,234.53,135.95,110.55,317.81,44.1
2025-05-05,238.01,135.3,111.35,319.06,44.1
2025-05-06,239.7,134.35,111.92,320.78,43.9
2025-05-07,238.66,134.4,112.87,320.94,44.06
2025-05-08,239.86,133.49,112.39,323.6,44.3
2025-05-09,238.84,133.78,113.57,321.54,43.89
2025-05-10,237.81,133.73,113.75,321.2,43.7
2025-05-11,238.35,133.47,115.62,319.91,43.51
2025-05-12,234.14,132.47,115.0,316.55,43.28
2025-05-13,230.34,131.83,116.56,316.4,43.48
2025-05-14,229.1,132.66,116.74,316.18,43.43
2025-05-15,226.88,133.21,116.15,318.9,43.37
2025-05-16,227.57,132.14,115.72,320.04,42.87
2025-05-17,225.57,132.25,115.43,318.19,43.03
2025-05-18,222.46,133.07,115.81,321.53,42.72
2025-05-19,225.69,131.24,116.28,323.73,42.73
2025-05-20,225.19,131.84,115.76,324.78,42.8
2025-05-21,225.34,131.11,115.74,324.37,43.14
2025-05-22,222.2,131.73,117.67,322.64,42.81
2025-05-23,221.01,130.9,119.22,321.97,42.06
2025-05-24,221.25,128.91,119.62,323.93,42.1
2025-05-25,218.72,127.12,119.65,327.32,42.55
2025-05-26,219.55,127.17,119.76,330.1,42.86
2025-05-27,218.22,127.46,120.31,329.22,42.92
2025-05-28,217.58,126.46,119.39,327.21,42.79
2025-05-29,216.26,127.17,119.16,327.46,43.0
2025-05-30,220.33,125.34,117.66,324.28,42.75
2025-05-31,220.3,125.27,118.02,324.86,42.87
2025-06-01,217.98,123.93,118.6,324.59,43.0
2025-06-02,219.79,123.22,118.16,323.75,43.26
2025-06-03,217.1,123.27,119.58,320.88,43.95
2025-06-04,217.56,122.32,118.48,321.81,44.05
2025-06-05,213.25,121.9,117.16,320.85,43.92
2025-06-06,210.33,123.01,117.36,318.74,43.92
2025-06-07,210.76,122.37,118.3,313.57,43.47
2025-06-08,212.38,123.29,119.82,313.52,43.3
2025-06-09,212.76,122.05,119.41,316.71,43.2
2025-06-10,212.51,122.63,120.38,319.7,43.07
2025-06-11,211.84,124.22,120.34,318.88,43.11
2025-06-12,208.59,121.5,120.19,317.8,42.9
2025-06-13,207.01,120.62,120.98,318.64,43.18
2025-06-14,205.99,121.26,121.57,316.84,43.18
2025-06-15,208.32,121.03,120.15,317.39,43.18
2025-06-16,209.08,121.44,121.48,318.77,43.1
2025-06-17,205.2,120.78,122.72,320.98,43.14
2025-06-18,205.91,120.87,122.16,320.8,43.34
2025-06-19,205.06,120.7,122.52,320.43,43.12
2025-06-20,203.57,121.99,122.96,318.85,42.96
2025-06-21,204.92,122.26,123.19,317.36,42.88
2025-06-22,207.19,122.64,122.7,316.95,42.55
2025-06-23,209.24,122.18,122.09,317.61,42.34
2025-06-24,207.39,121.65,122.07,319.26,42.22
2025-06-25,206.71,121.17,123.13,317.81,42.44
2025-06-26,207.44,121.6,123.62,320.5,42.51
2025-06-27,209.59,121.14,123.28,320.01,42.56
2025-06-28,208.53,121.46,123.98,319.97,42.77
2025-06-29,208.12,123.74,121.41,318.63,42.73
2025-06-30,205.69,124.7,122.45,314.26,42.83
2025-07-01,203.06,124.34,120.88,315.86,42.81
2025-07-02,204.84,125.66,120.56,317.18,42.87
2025-07-03,207.83,125.22,119.55,316.67,42.73
2025-07-04,207.67,122.97,118.38,316.8,42.12
2025-07-05,209.88,121.86,119.43,317.72,42.08
2025-07-06,210.67,119.81,119.01,314.91,42.44
2025-07-07,209.25,119.42,119.32,313.96,42.67
2025-07-08,210.05,119.44,119.28,315.39,42.91
2025-07-09,213.43,121.28,119.71,313.13,43.22
2025-07-10,213.35,121.64,119.77,313.66,43.24
2025-07-11,216.8,121.4,118.62,311.22,43.29
2025-07-12,211.03,122.32,119.52,312.06,43.14
2025-07-13,212.84,119.88,119.07,311.99,43.06
2025-07-14,213.03,120.14,117.67,309.09,43.21
2025-07-15,212.37,120.99,117.29,311.18,43.51
2025-07-16,212.58,119.36,118.64,309.86,43.48
2025-07-17,208.2,120.62,119.4,308.4,43.37
2025-07-18,207.72,120.99,119.09,308.76,43.37
2025-07-19,208.51,120.54,118.77,310.83,43.52
2025-07-20,211.76,121.23,118.48,309.0,43.16
2025-07-21,210.62,123.73,120.35,309.11,42.58
2025-07-22,208.84,123.93,120.7,309.88,42.45
2025-07-23,207.74,124.2,121.08,311.13,42.14
2025-07-24,209.75,123.7,122.01,311.45,42.01
2025-07-25,210.47,122.76,122.23,310.79,41.98
2025-07-26,209.31,123.68,121.99,309.3,41.86
2025-07-27,210.44,122.74,121.82,309.45,42.23
2025-07-28,210.65,122.81,121.75,307.52,42.31
2025-07-29,212.78,122.29,121.72,302.27,42.38
2025-07-30,211.24,122.82,122.37,303.05,42.54
2025-07-31,210.52,123.18,122.42,304.68,42.25
2025-08-01,209.65,124.32,123.08,300.43,42.51
2025-08-02,206.43,123.76,123.01,298.61,42.49
2025-08-03,207.08,123.47,123.08,299.72,42.66
2025-08-04,207.66,122.39,121.28,303.43,42.39
2025-08-05,207.67,121.9,122.1,303.46,42.01
2025-08-06,207.15,122.32,122.42,302.15,42.21
2025-08-07,204.04,123.15,123.31,301.82,42.3
2025-08-08,203.11,122.13,120.71,304.3,42.08
2025-08-09,202.36,123.09,122.59,303.14,41.86
2025-08-10,200.6,124.58,122.46,301.7,42.14
2025-08-11,200.24,125.04,123.46,300.83,41.85
2025-08-12,201.13,127.1,122.52,299.11,42.26
2025-08-13,205.28,126.25,123.07,299.33,42.03
2025-08-14,205.66,124.88,122.13,302.26,42.19
2025-08-15,206.23,122.92,121.56,302.84,42.11
