Date,Month,Port_Name,Vessels_In_Queue,Cargo_Traffic_KMT,Waiting_Days
2025-04-29,4,Haldia Dock Complex,5,40.2,3.71
2025-04-29,4,Paradip Port,4,49.1,2.85
2025-04-29,4,Vizag Port,4,80.1,2.26
2025-04-29,4,Dhamra Port,5,39.3,2.15
2025-04-29,4,Hay Point Coal Terminal,2,104.3,2.05
2025-04-29,4,Taboneo Anchorage,4,101.5,2.4
2025-04-30,4,Haldia Dock Complex,5,105.8,4.02
2025-04-30,4,Paradip Port,3,59.4,2.72
2025-04-30,4,Vizag Port,4,75.1,2.39
2025-04-30,4,Dhamra Port,4,94.7,2.35
2025-04-30,4,Hay Point Coal Terminal,4,44.3,2.24
2025-04-30,4,Taboneo Anchorage,2,59.4,2.14
2025-05-01,5,Haldia Dock Complex,7,91.5,4.88
2025-05-01,5,Paradip Port,1,43.8,1.98
2025-05-01,5,Vizag Port,2,72.6,1.97
2025-05-01,5,Dhamra Port,3,56.9,2.16
2025-05-01,5,Hay Point Coal Terminal,6,100.3,3.03
2025-05-01,5,Taboneo Anchorage,3,66.8,2.17
2025-05-02,5,Haldia Dock Complex,2,72.8,3.08
2025-05-02,5,Paradip Port,4,86.6,2.75
2025-05-02,5,Vizag Port,6,38.7,2.46
2025-05-02,5,Dhamra Port,3,46.4,2.52
2025-05-02,5,Hay Point Coal Terminal,6,62.5,2.84
2025-05-02,5,Taboneo Anchorage,4,38.9,2.42
2025-05-03,5,Haldia Dock Complex,2,72.9,3.49
2025-05-03,5,Paradip Port,4,60.6,2.46
2025-05-03,5,Vizag Port,6,74.1,2.56
2025-05-03,5,Dhamra Port,10,47.6,3.05
2025-05-03,5,Hay Point Coal Terminal,2,43.3,1.9
2025-05-03,5,Taboneo Anchorage,5,89.7,2.31
2025-05-04,5,Haldia Dock Complex,5,55.1,3.9
2025-05-04,5,Paradip Port,6,56.2,2.93
2025-05-04,5,Vizag Port,2,103.7,2.14
2025-05-04,5,Dhamra Port,7,76.1,2.93
2025-05-04,5,Hay Point Coal Terminal,6,73.3,2.69
2025-05-04,5,Taboneo Anchorage,9,93.5,3.28
2025-05-05,5,Haldia Dock Complex,6,77.6,3.98
2025-05-05,5,Paradip Port,3,38.7,2.34
2025-05-05,5,Vizag Port,5,80.8,2.98
2025-05-05,5,Dhamra Port,7,41.6,2.98
2025-05-05,5,Hay Point Coal Terminal,4,48.5,2.1
2025-05-05,5,Taboneo Anchorage,8,53.8,2.69
2025-05-06,5,Haldia Dock Complex,2,44.4,3.31
2025-05-06,5,Paradip Port,3,48.5,2.65
2025-05-06,5,Vizag Port,4,63.0,2.28
