Date,Month,Corridor,Wave_Height_m,Wind_Speed_knots,Sea_Pressure_hPa,Delay_Days,Storm_Risk
2025-04-29,4,Indonesia to East Coast India,0.99,17.5,1019.3,0.0,Clear
2025-04-29,4,Australia to East Coast India,0.7,8.6,1020.7,0.0,Clear
2025-04-30,4,Indonesia to East Coast India,1.28,15.1,1012.2,0.0,Clear
2025-04-30,4,Australia to East Coast India,0.74,11.0,1017.2,0.0,Clear
2025-05-01,5,Indonesia to East Coast India,1.06,10.9,1018.1,0.0,Clear
2025-05-01,5,Australia to East Coast India,0.98,12.6,1019.9,0.0,Clear
2025-05-02,5,Indonesia to East Coast India,0.76,13.1,1017.9,0.0,Clear
2025-05-02,5,Australia to East Coast India,0.72,8.7,1021.5,0.0,Clear
2025-05-03,5,Indonesia to East Coast India,1.76,16.1,1015.0,0.18,Clear
2025-05-03,5,Australia to East Coast India,1.07,9.2,1017.0,0.0,Clear
2025-05-04,5,Indonesia to East Coast India,0.54,17.1,1014.6,0.0,Clear
2025-05-04,5,Australia to East Coast India,1.18,13.5,1013.8,0.14,Clear
2025-05-05,5,Indonesia to East Coast India,1.76,15.8,1021.4,0.17,Clear
2025-05-05,5,Australia to East Coast India,1.7,8.9,1014.0,0.23,Clear
2025-05-06,5,Indonesia to East Coast India,0.56,11.3,1015.9,0.0,Clear
2025-05-06,5,Australia to East Coast India,0.96,10.8,1017.4,0.0,Clear
2025-05-07,5,Indonesia to East Coast India,0.68,16.0,1012.7,0.0,Clear
2025-05-07,5,Australia to East Coast India,1.45,15.7,1012.7,0.18,Clear
2025-05-08,5,Indonesia to East Coast India,0.97,9.2,1020.6,0.0,Clear
2025-05-08,5,Australia to East Coast India,0.58,11.1,1015.3,0.03,Clear
2025-05-09,5,Indonesia to East Coast India,1.45,14.4,1020.9,0.0,Clear
2025-05-09,5,Australia to East Coast India,1.43,15.6,1017.6,0.08,Clear
2025-05-10,5,Indonesia to East Coast India,1.5,12.9,1017.2,0.06,Clear
2025-05-10,5,Australia to East Coast India,0.64,8.3,1018.4,0.0,Clear
2025-05-11,5,Indonesia to East Coast India,0.91,13.1,1021.1,0.0,Clear
2025-05-11,5,Australia to East Coast India,1.48,10.3,1012.8,0.0,Clear
2025-05-12,5,Indonesia to East Coast India,0.88,9.6,1021.3,0.03,Clear
2025-05-12,5,Australia to East Coast India,1.63,16.0,1013.9,0.24,Clear
2025-05-13,5,Indonesia to East Coast India,1.66,13.4,1020.1,0.1,Clear
2025-05-13,5,Australia to East Coast India,0.64,10.3,1016.3,0.0,Clear
2025-05-14,5,Indonesia to East Coast India,1.56,16.6,1012.1,0.0,Clear
2025-05-14,5,Australia to East Coast India,0.79,9.2,1015.4,0.0,Clear
2025-05-15,5,Indonesia to East Coast India,1.73,11.2,1017.2,0.05,Clear
2025-05-15,5,Australia to East Coast India,1.76,17.6,1014.5,0.29,Clear
2025-05-16,5,Indonesia to East Coast India,1.15,11.0,1014.8,0.04,Clear
2025-05-16,5,Australia to East Coast India,1.15,8.5,1014.8,0.0,Clear
2025-05-17,5,Indonesia to East Coast India,1.68,10.4,1013.4,0.17,Clear
2025-05-17,5,Australia to East Coast India,0.81,14.7,1019.6,0.0,Clear
2025-05-18,5,Indonesia to East Coast India,0.81,15.3,1015.7,0.1,Clear
2025-05-18,5,Australia to East Coast India,1.2,8.9,1020.4,0.18,Clear
2025-05-19,5,Indonesia to East Coast India,0.92,9.9,1012.4,0.15,Clear
2025-05-19,5,Australia to East Coast India,0.52,13.1,1014.3,0.0,Clear
2025-05-20,5,Indonesia to East Coast India,1.34,9.7,1018.9,0.13,Clear
2025-05-20,5,Australia to East Coast India,0.68,11.4,1013.1,0.0,Clear
2025-05-21,5,Indonesia to East Coast India,1.7,16.8,1014.6,0.24,Clear
2025-05-21,5,Australia to East Coast India,1.22,13.3,1014.4,0.1,Clear
2025-05-22,5,Indonesia to East Coast India,0.62,17.0,1021.0,0.0,Clear
2025-05-22,5,Australia to East Coast India,0.95,15.3,1021.0,0.11,Clear
2025-05-23,5,Indonesia to East Coast India,1.65,15.8,1018.4,0.15,Clear
2025-05-23,5,Australia to East Coast India,0.51,9.0,1018.6,0.0,Clear
2025-05-24,5,Indonesia to East Coast India,0.51,9.6,1017.5,0.01,Clear
2025-05-24,5,Australia to East Coast India,0.79,15.1,1014.4,0.09,Clear
2025-05-25,5,Indonesia to East Coast India,0.92,15.5,1018.5,0.03,Clear
2025-05-25,5,Australia to East Coast India,1.24,8.9,1015.7,0.14,Clear
2025-05-26,5,Indonesia to East Coast India,0.84,10.4,1021.7,0.06,Clear
2025-05-26,5,Australia to East Coast India,1.32,15.9,1017.0,0.04,Clear
2025-05-27,5,Indonesia to East Coast India,1.25,12.9,1014.0,0.0,Clear
2025-05-27,5,Australia to East Coast India,0.53,14.5,1013.8,0.0,Clear
2025-05-28,5,Indonesia to East Coast India,1.72,17.5,1021.1,0.13,Clear
2025-05-28,5,Australia to East Coast India,1.76,17.6,1020.5,0.23,Clear
2025-05-29,5,Indonesia to East Coast India,0.88,11.9,1020.5,0.0,Clear
2025-05-29,5,Australia to East Coast India,1.22,17.4,1019.0,0.0,Clear
2025-05-30,5,Indonesia to East Coast India,1.24,9.0,1018.2,0.15,Clear
2025-05-30,5,Australia to East Coast India,1.46,15.0,1019.0,0.1,Clear
2025-05-31,5,Indonesia to East Coast India,0.97,10.9,1020.1,0.02,Clear
2025-05-31,5,Australia to East Coast India,1.69,13.1,1017.0,0.16,Clear
2025-06-01,6,Indonesia to East Coast India,4.34,36.9,1004.1,5.13,Monsoon_High
2025-06-01,6,Australia to East Coast India,3.28,30.6,996.2,4.38,Monsoon_High
2025-06-02,6,Indonesia to East Coast India,3.83,22.8,1001.1,3.82,Monsoon_High
2025-06-02,6,Australia to East Coast India,3.86,22.7,995.5,4.25,Monsoon_High
2025-06-03,6,Indonesia to East Coast India,4.39,30.3,996.7,5.08,Monsoon_High
2025-06-03,6,Australia to East Coast India,3.0,36.3,996.1,4.54,Monsoon_High
2025-06-04,6,Indonesia to East Coast India,2.62,34.2,1002.0,4.53,Monsoon_High
2025-06-04,6,Australia to East Coast India,4.74,33.9,999.2,5.26,Monsoon_High
2025-06-05,6,Indonesia to East Coast India,4.33,28.2,1000.7,4.49,Monsoon_High
2025-06-05,6,Australia to East Coast India,2.9,25.6,998.3,4.27,Monsoon_High
2025-06-06,6,Indonesia to East Coast India,3.76,38.4,1003.6,5.0,Monsoon_High
2025-06-06,6,Australia to East Coast India,3.91,31.7,998.2,4.98,Monsoon_High
2025-06-07,6,Indonesia to East Coast India,3.32,39.4,995.2,4.75,Monsoon_High
2025-06-07,6,Australia to East Coast India,2.73,33.3,1001.2,4.63,Monsoon_High
2025-06-08,6,Indonesia to East Coast India,2.9,32.0,1000.2,4.57,Monsoon_High
2025-06-08,6,Australia to East Coast India,2.6,30.6,1003.1,4.34,Monsoon_High
2025-06-09,6,Indonesia to East Coast India,3.66,41.7,1003.6,5.01,Monsoon_High
2025-06-09,6,Australia to East Coast India,3.85,43.6,1002.5,5.23,Monsoon_High
2025-06-10,6,Indonesia to East Coast India,3.39,36.8,1001.0,4.83,Monsoon_High
2025-06-10,6,Australia to East Coast India,3.39,44.1,1006.8,5.07,Monsoon_High
2025-06-11,6,Indonesia to East Coast India,2.95,23.6,996.3,3.76,Monsoon_High
2025-06-11,6,Australia to East Coast India,3.23,41.4,995.3,4.91,Monsoon_High
2025-06-12,6,Indonesia to East Coast India,4.37,28.5,996.5,4.86,Monsoon_High
2025-06-12,6,Australia to East Coast India,4.52,38.9,1005.4,5.54,Monsoon_High
2025-06-13,6,Indonesia to East Coast India,3.15,26.1,1004.8,3.71,Monsoon_High
2025-06-13,6,Australia to East Coast India,4.29,29.8,1007.1,4.46,Monsoon_High
2025-06-14,6,Indonesia to East Coast India,4.47,31.9,1004.8,4.8,Monsoon_High
2025-06-14,6,Australia to East Coast India,4.58,33.6,1005.7,5.06,Monsoon_High
2025-06-15,6,Indonesia to East Coast India,3.24,42.6,1000.1,4.87,Monsoon_High
2025-06-15,6,Australia to East Coast India,4.69,43.9,1002.5,5.44,Monsoon_High
2025-06-16,6,Indonesia to East Coast India,3.95,32.3,998.8,4.94,Monsoon_High
2025-06-16,6,Australia to East Coast India,4.23,40.2,1005.3,4.96,Monsoon_High
2025-06-17,6,Indonesia to East Coast India,2.71,33.4,995.7,3.83,Monsoon_High
2025-06-17,6,Australia to East Coast India,4.54,30.1,996.5,5.17,Monsoon_High
2025-06-18,6,Indonesia to East Coast India,2.83,39.5,1003.0,4.52,Monsoon_High
2025-06-18,6,Australia to East Coast India,4.39,38.2,996.1,5.21,Monsoon_High
2025-06-19,6,Indonesia to East Coast India,2.7,44.7,999.9,5.04,Monsoon_High
2025-06-19,6,Australia to East Coast India,4.68,44.7,1004.8,5.51,Monsoon_High
2025-06-20,6,Indonesia to East Coast India,3.37,23.9,1005.1,3.63,Monsoon_High
2025-06-20,6,Australia to East Coast India,4.58,24.6,1001.4,4.88,Monsoon_High
2025-06-21,6,Indonesia to East Coast India,2.53,32.8,995.7,4.4,Monsoon_High
2025-06-21,6,Australia to East Coast India,3.84,44.1,999.9,5.4,Monsoon_High
2025-06-22,6,Indonesia to East Coast India,3.16,42.0,997.9,4.88,Monsoon_High
2025-06-22,6,Australia to East Coast India,4.78,23.7,1002.2,4.8,Monsoon_High
2025-06-23,6,Indonesia to East Coast India,4.73,34.0,1003.2,5.01,Monsoon_High
2025-06-23,6,Australia to East Coast India,3.94,35.4,1006.7,5.22,Monsoon_High
2025-06-24,6,Indonesia to East Coast India,2.6,28.5,1007.4,3.94,Monsoon_High
2025-06-24,6,Australia to East Coast India,3.93,28.4,997.4,4.68,Monsoon_High
2025-06-25,6,Indonesia to East Coast India,3.57,30.1,1002.6,4.05,Monsoon_High
2025-06-25,6,Australia to East Coast India,4.37,37.7,997.1,5.21,Monsoon_High
2025-06-26,6,Indonesia to East Coast India,4.6,40.9,1007.3,5.53,Monsoon_High
2025-06-26,6,Australia to East Coast India,3.46,43.5,1006.3,5.35,Monsoon_High
2025-06-27,6,Indonesia to East Coast India,2.6,22.6,999.9,3.73,Monsoon_High
2025-06-27,6,Australia to East Coast India,3.38,44.3,1005.9,4.85,Monsoon_High
2025-06-28,6,Indonesia to East Coast India,4.43,32.8,1000.4,4.89,Monsoon_High
2025-06-28,6,Australia to East Coast India,4.49,40.7,1008.0,5.32,Monsoon_High
2025-06-29,6,Indonesia to East Coast India,4.79,34.8,1005.0,5.09,Monsoon_High
2025-06-29,6,Australia to East Coast India,2.8,43.9,1002.9,4.5,Monsoon_High
2025-06-30,6,Indonesia to East Coast India,3.03,37.4,1003.0,4.42,Monsoon_High
2025-06-30,6,Australia to East Coast India,4.04,34.0,1005.0,4.76,Monsoon_High
2025-07-01,7,Indonesia to East Coast India,3.7,41.6,1002.2,5.26,Monsoon_High
2025-07-01,7,Australia to East Coast India,3.43,25.1,995.4,4.16,Monsoon_High
2025-07-02,7,Indonesia to East Coast India,4.24,36.3,1004.2,4.92,Monsoon_High
2025-07-02,7,Australia to East Coast India,2.53,30.1,1002.7,3.95,Monsoon_High
2025-07-03,7,Indonesia to East Coast India,3.4,32.1,1006.8,4.5,Monsoon_High
2025-07-03,7,Australia to East Coast India,4.3,31.1,1003.1,4.34,Monsoon_High
2025-07-04,7,Indonesia to East Coast India,4.48,43.8,996.9,5.48,Monsoon_High
2025-07-04,7,Australia to East Coast India,3.09,32.6,1007.7,4.52,Monsoon_High
2025-07-05,7,Indonesia to East Coast India,3.63,29.6,1003.2,4.41,Monsoon_High
2025-07-05,7,Australia to East Coast India,2.8,24.9,997.0,3.85,Monsoon_High
2025-07-06,7,Indonesia to East Coast India,2.82,36.7,997.4,4.61,Monsoon_High
2025-07-06,7,Australia to East Coast India,3.59,37.4,997.2,4.75,Monsoon_High
2025-07-07,7,Indonesia to East Coast India,2.94,22.9,997.2,3.66,Monsoon_High
2025-07-07,7,Australia to East Coast India,2.7,24.8,1001.0,3.71,Monsoon_High
2025-07-08,7,Indonesia to East Coast India,2.97,30.4,1001.5,4.19,Monsoon_High
2025-07-08,7,Australia to East Coast India,4.34,36.4,996.1,5.07,Monsoon_High
2025-07-09,7,Indonesia to East Coast India,4.51,43.2,995.8,5.63,Monsoon_High
2025-07-09,7,Australia to East Coast India,4.22,26.2,997.7,4.38,Monsoon_High
2025-07-10,7,Indonesia to East Coast India,3.35,33.1,1003.0,4.37,Monsoon_High
2025-07-10,7,Australia to East Coast India,4.22,22.8,998.3,3.89,Monsoon_High
2025-07-11,7,Indonesia to East Coast India,4.14,42.6,1001.7,5.09,Monsoon_High
2025-07-11,7,Australia to East Coast India,3.53,34.3,998.2,4.64,Monsoon_High
2025-07-12,7,Indonesia to East Coast India,3.12,30.7,995.3,4.07,Monsoon_High
2025-07-12,7,Australia to East Coast India,3.25,24.8,1006.6,3.91,Monsoon_High
2025-07-13,7,Indonesia to East Coast India,3.87,37.6,1005.3,4.75,Monsoon_High
2025-07-13,7,Australia to East Coast India,3.74,35.5,1004.7,4.77,Monsoon_High
2025-07-14,7,Indonesia to East Coast India,3.49,24.9,998.7,4.42,Monsoon_High
2025-07-14,7,Australia to East Coast India,3.81,30.2,1007.8,4.27,Monsoon_High
2025-07-15,7,Indonesia to East Coast India,3.89,27.5,996.3,4.34,Monsoon_High
2025-07-15,7,Australia to East Coast India,2.87,26.3,998.7,3.84,Monsoon_High
2025-07-16,7,Indonesia to East Coast India,2.9,42.6,996.0,4.29,Monsoon_High
2025-07-16,7,Australia to East Coast India,4.76,24.6,1000.2,4.77,Monsoon_High
2025-07-17,7,Indonesia to East Coast India,4.73,41.9,1005.6,5.34,Monsoon_High
2025-07-17,7,Australia to East Coast India,4.04,43.4,1002.2,5.18,Monsoon_High
2025-07-18,7,Indonesia to East Coast India,3.81,28.4,1005.0,4.33,Monsoon_High
2025-07-18,7,Australia to East Coast India,3.48,33.7,998.2,4.37,Monsoon_High
2025-07-19,7,Indonesia to East Coast India,2.76,36.0,998.8,4.18,Monsoon_High
2025-07-19,7,Australia to East Coast India,3.61,34.2,995.7,4.71,Monsoon_High
2025-07-20,7,Indonesia to East Coast India,3.27,25.1,995.8,3.94,Monsoon_High
2025-07-20,7,Australia to East Coast India,4.07,39.5,1002.7,5.25,Monsoon_High
2025-07-21,7,Indonesia to East Coast India,3.58,31.5,999.5,4.54,Monsoon_High
2025-07-21,7,Australia to East Coast India,2.92,23.5,1004.6,3.86,Monsoon_High
2025-07-22,7,Indonesia to East Coast India,3.82,41.4,996.8,4.98,Monsoon_High
2025-07-22,7,Australia to East Coast India,2.88,25.8,1005.6,4.06,Monsoon_High
2025-07-23,7,Indonesia to East Coast India,4.03,34.0,999.7,4.76,Monsoon_High
2025-07-23,7,Australia to East Coast India,4.38,32.1,999.9,5.05,Monsoon_High
2025-07-24,7,Indonesia to East Coast India,3.56,28.9,1004.7,4.06,Monsoon_High
2025-07-24,7,Australia to East Coast India,4.57,30.8,1002.1,4.87,Monsoon_High
2025-07-25,7,Indonesia to East Coast India,4.58,36.4,996.5,5.18,Monsoon_High
2025-07-25,7,Australia to East Coast India,3.27,25.2,1005.3,4.18,Monsoon_High
2025-07-26,7,Indonesia to East Coast India,3.93,34.3,1006.6,4.69,Monsoon_High
2025-07-26,7,Australia to East Coast India,3.22,27.7,1004.7,4.25,Monsoon_High
2025-07-27,7,Indonesia to East Coast India,2.58,35.1,1004.9,4.22,Monsoon_High
2025-07-27,7,Australia to East Coast India,4.39,24.5,1006.0,4.65,Monsoon_High
2025-07-28,7,Indonesia to East Coast India,2.79,31.1,1005.4,4.09,Monsoon_High
2025-07-28,7,Australia to East Coast India,4.16,38.6,1003.3,4.98,Monsoon_High
2025-07-29,7,Indonesia to East Coast India,4.1,34.5,998.3,4.65,Monsoon_High
2025-07-29,7,Australia to East Coast India,4.59,35.4,1000.2,5.0,Monsoon_High
2025-07-30,7,Indonesia to East Coast India,3.56,43.8,997.0,5.15,Monsoon_High
2025-07-30,7,Australia to East Coast India,3.91,22.4,1006.3,4.71,Monsoon_High
2025-07-31,7,Indonesia to East Coast India,4.64,35.0,1004.1,5.15,Monsoon_High
2025-07-31,7,Australia to East Coast India,2.85,35.3,1002.9,4.49,Monsoon_High
2025-08-01,8,Indonesia to East Coast India,3.48,38.9,1007.1,4.82,Monsoon_High
2025-08-01,8,Australia to East Coast India,2.76,44.7,1005.9,4.99,Monsoon_High
2025-08-02,8,Indonesia to East Coast India,2.79,43.2,1006.3,5.28,Monsoon_High
2025-08-02,8,Australia to East Coast India,3.42,23.3,999.4,4.13,Monsoon_High
2025-08-03,8,Indonesia to East Coast India,4.35,22.1,999.3,4.51,Monsoon_High
2025-08-03,8,Australia to East Coast India,4.62,30.0,999.5,4.38,Monsoon_High
2025-08-04,8,Indonesia to East Coast India,4.2,32.4,997.9,4.57,Monsoon_High
2025-08-04,8,Australia to East Coast India,2.91,33.5,1000.4,4.31,Monsoon_High
